MAST_ISSR_NUM	DFLT_DATETIME	COHORT_REENTRY_DATETIME
1263	2021-09-15 00:00:00	2021-09-21 00:00:00
1266	2009-04-02 00:00:00	2010-07-17 00:00:00
1279	2018-08-04 00:00:00	2018-08-11 00:00:00
1279	2019-03-01 00:00:00	2020-09-25 00:00:00
1314	2020-08-14 00:00:00	2021-08-13 00:00:00
1322	1919-05-05 00:00:00	3000-01-04 00:00:00
1323	1924-04-03 00:00:00	1925-03-03 00:00:00
1323	1933-04-02 00:00:00	1956-03-14 00:00:00
1331	1937-03-15 00:00:00	3000-01-13 00:00:00
1341	2008-07-29 00:00:00	2009-11-02 00:00:00
1383	2018-01-21 00:00:00	2018-01-27 00:00:00
1384	2004-10-07 00:00:00	2005-11-17 00:00:00
1384	2008-08-19 00:00:00	2009-07-21 00:00:00
1386	1933-03-20 00:00:00	2999-12-27 00:00:00
1410	1931-10-12 00:00:00	3000-01-10 00:00:00
1412	1998-12-17 00:00:00	2000-08-07 00:00:00
1439	1920-07-02 00:00:00	3000-01-01 00:00:00
1442	1917-04-24 00:00:00	2999-12-28 00:00:00
1443	1998-03-27 00:00:00	2003-03-26 00:00:00
1457	1977-05-12 00:00:00	1983-11-01 00:00:00
1473	1999-02-01 00:00:00	2004-06-01 00:00:00
1475	1931-05-20 00:00:00	1943-05-02 00:00:00
1482	2021-02-13 00:00:00	2021-02-19 00:00:00
1484	2017-06-18 00:00:00	2017-06-24 00:00:00
1510	1922-09-05 00:00:00	3000-01-04 00:00:00
1514	1926-11-10 00:00:00	3000-01-08 00:00:00
1516	2015-06-28 00:00:00	2015-07-05 00:00:00
1516	2016-03-20 00:00:00	2016-03-26 00:00:00
1550	2008-12-07 00:00:00	2011-09-25 00:00:00
1552	2018-02-12 00:00:00	2018-06-30 00:00:00
1552	2019-02-12 00:00:00	2020-02-11 00:00:00
1558	1999-07-04 00:00:00	1999-09-13 00:00:00
1560	1992-01-11 00:00:00	1993-01-10 00:00:00
1572	1990-06-15 00:00:00	1992-01-07 00:00:00
1573	2001-12-06 00:00:00	2003-09-20 00:00:00
1584	2010-02-27 00:00:00	2015-02-26 00:00:00
1591	1934-10-08 00:00:00	1940-08-08 00:00:00
1622	2017-06-12 00:00:00	2019-04-13 00:00:00
1627	1933-04-29 00:00:00	2999-12-28 00:00:00
1638	1986-04-30 00:00:00	1986-09-18 00:00:00
1638	1991-06-06 00:00:00	1992-03-01 00:00:00
1639	1920-06-27 00:00:00	2999-12-27 00:00:00
1643	2001-07-02 00:00:00	2002-08-29 00:00:00
1655	2018-07-03 00:00:00	2018-08-11 00:00:00
1662	1933-05-21 00:00:00	2999-12-20 00:00:00
1673	2004-11-24 00:00:00	2005-04-08 00:00:00
1674	1938-06-27 00:00:00	2999-12-27 00:00:00
1681	1978-02-17 00:00:00	1981-08-12 00:00:00
1683	2022-01-20 00:00:00	2027-02-26 00:00:00
1686	1987-09-07 00:00:00	1988-09-06 00:00:00
1694	1921-06-16 00:00:00	2999-12-16 00:00:00
1704	2017-03-16 00:00:00	2017-03-22 00:00:00
1704	2020-02-22 00:00:00	2020-02-28 00:00:00
1706	1926-07-27 00:00:00	2999-12-25 00:00:00
1711	1920-08-30 00:00:00	2999-12-29 00:00:00
1721	1937-10-18 00:00:00	2999-12-18 00:00:00
1753	2005-01-03 00:00:00	2010-08-31 00:00:00
1754	1983-03-08 00:00:00	1988-03-07 00:00:00
1755	1931-06-07 00:00:00	3000-01-05 00:00:00
1760	1932-06-15 00:00:00	3000-01-13 00:00:00
1773	1995-07-17 00:00:00	1996-11-27 00:00:00
1778	2004-03-21 00:00:00	2005-02-05 00:00:00
1803	1932-10-27 00:00:00	2999-12-25 00:00:00
1806	2003-04-03 00:00:00	2004-10-29 00:00:00
1811	2009-12-21 00:00:00	2014-12-20 00:00:00
1821	2009-02-18 00:00:00	2015-11-28 00:00:00
1846	1923-12-28 00:00:00	2999-12-26 00:00:00
1855	1937-06-23 00:00:00	1940-07-27 00:00:00
1855	1949-06-23 00:00:00	2999-12-22 00:00:00
1869	2010-03-01 00:00:00	2011-02-28 00:00:00
1870	1939-07-10 00:00:00	3000-01-08 00:00:00
1874	2009-02-11 00:00:00	2009-02-17 00:00:00
1876	1919-04-23 00:00:00	2999-12-23 00:00:00
1885	2009-03-16 00:00:00	2010-12-20 00:00:00
1887	1995-03-26 00:00:00	1997-01-04 00:00:00
1903	1999-10-17 00:00:00	2000-11-19 00:00:00
1964	1935-11-08 00:00:00	1942-06-30 00:00:00
1970	1933-05-07 00:00:00	1954-08-15 00:00:00
1974	1931-06-02 00:00:00	2999-12-31 00:00:00
1989	1999-08-05 00:00:00	2000-03-25 00:00:00
1998	2001-11-01 00:00:00	2003-10-16 00:00:00
2011	1994-11-23 00:00:00	1997-09-02 00:00:00
2035	2012-11-24 00:00:00	2012-11-30 00:00:00
2036	1920-01-08 00:00:00	3000-01-06 00:00:00
2039	1997-12-01 00:00:00	2000-04-03 00:00:00
2056	1932-12-21 00:00:00	1945-06-10 00:00:00
2057	2009-01-01 00:00:00	2009-12-08 00:00:00
2059	2020-09-02 00:00:00	2999-12-17 00:00:00
